epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1517.72,1.30196,1.01815,1.01538,0.84268,0.80568,0.84905,0.52808,1.24709,0.89631,1.00567,0.000494885,0.000494885,0.000494885
43,1558.69,1.28894,0.99082,1.01081,0.82922,0.82785,0.85415,0.52267,1.23758,0.85146,0.99861,0.000486639,0.000486639,0.000486639
44,1599.56,1.3057,1.00063,1.00974,0.83837,0.78529,0.83016,0.51991,1.22541,0.88713,0.99248,0.000478392,0.000478392,0.000478392
45,1640.27,1.28632,0.98238,1.006,0.84622,0.8156,0.84196,0.53341,1.2217,0.82879,0.99477,0.000470145,0.000470145,0.000470145
46,1681.01,1.26915,0.97151,1.00486,0.88313,0.79481,0.84366,0.53144,1.22989,0.85099,0.99566,0.000461898,0.000461898,0.000461898
47,1721.31,1.27187,0.96897,0.99625,0.86133,0.79982,0.84398,0.54033,1.18515,0.84103,0.97815,0.000453652,0.000453652,0.000453652
48,1754.27,1.2644,0.96969,1.00466,0.84833,0.80927,0.85116,0.54182,1.21514,0.85278,0.98388,0.000445405,0.000445405,0.000445405
49,1793.72,1.26028,0.95764,0.99712,0.86611,0.80217,0.85321,0.53646,1.18031,0.82571,0.97775,0.000437158,0.000437158,0.000437158
50,1826.58,1.26908,0.95874,0.99768,0.88495,0.79992,0.86134,0.54463,1.19278,0.83004,0.98328,0.000428912,0.000428912,0.000428912
51,1859.38,1.22762,0.92852,0.98636,0.86734,0.8195,0.86779,0.55172,1.20258,0.82172,0.98385,0.000420665,0.000420665,0.000420665
52,1891.96,1.23995,0.93133,0.99486,0.88134,0.84165,0.87028,0.54556,1.22676,0.8345,1.0042,0.000412418,0.000412418,0.000412418
53,1924.8,1.23548,0.9267,0.98997,0.84943,0.81703,0.85756,0.54126,1.2287,0.82568,0.99656,0.000404172,0.000404172,0.000404172
54,1957.81,1.23967,0.92664,0.99157,0.8616,0.82037,0.8679,0.54383,1.20985,0.79693,0.98303,0.000395925,0.000395925,0.000395925
55,1990.9,1.23623,0.92094,0.98836,0.91851,0.806,0.88023,0.56581,1.16883,0.79071,0.97919,0.000387678,0.000387678,0.000387678
56,2023.59,1.22834,0.91317,0.98354,0.85682,0.83393,0.87798,0.56636,1.18144,0.78647,0.9805,0.000379431,0.000379431,0.000379431
57,2057.74,1.23653,0.91236,0.98842,0.8647,0.84543,0.87533,0.54851,1.20998,0.78979,0.97631,0.000371185,0.000371185,0.000371185
58,2099.76,1.21735,0.90305,0.97908,0.87373,0.82723,0.87782,0.55786,1.19034,0.79149,0.97798,0.000362938,0.000362938,0.000362938
59,2136.22,1.22597,0.91282,0.98216,0.90467,0.80678,0.87177,0.55884,1.18891,0.79105,0.97912,0.000354691,0.000354691,0.000354691
60,2170.43,1.21544,0.89567,0.98383,0.87099,0.84292,0.87133,0.55156,1.19281,0.77796,0.9693,0.000346445,0.000346445,0.000346445
61,2204.1,1.22272,0.89955,0.97992,0.89362,0.82818,0.88427,0.56594,1.18328,0.77323,0.96962,0.000338198,0.000338198,0.000338198
62,2238.84,1.23087,0.89545,0.9803,0.86637,0.84284,0.88044,0.55918,1.21036,0.79269,0.97772,0.000329951,0.000329951,0.000329951
63,2279.41,1.2067,0.8846,0.97497,0.90186,0.81376,0.87589,0.56665,1.17477,0.76638,0.97656,0.000321705,0.000321705,0.000321705
64,2312.87,1.18738,0.87255,0.97124,0.88374,0.83001,0.87863,0.55986,1.18437,0.77161,0.9716,0.000313458,0.000313458,0.000313458
65,2346.14,1.19044,0.87278,0.97462,0.897,0.83889,0.87667,0.57194,1.1568,0.74844,0.96239,0.000305211,0.000305211,0.000305211
66,2379.46,1.20162,0.8759,0.97127,0.86855,0.85363,0.89087,0.58154,1.17235,0.74433,0.96913,0.000296964,0.000296964,0.000296964
67,2412.22,1.19759,0.85186,0.96617,0.92928,0.81628,0.89249,0.57462,1.17312,0.75785,0.97021,0.000288718,0.000288718,0.000288718
68,2444.82,1.17228,0.84247,0.9646,0.85473,0.85235,0.88454,0.55851,1.20166,0.75093,0.96664,0.000280471,0.000280471,0.000280471
69,2477.58,1.17735,0.86536,0.97054,0.91725,0.82428,0.89221,0.57626,1.16371,0.73941,0.9592,0.000272224,0.000272224,0.000272224
70,2517.19,1.18005,0.84653,0.96991,0.93927,0.82604,0.89514,0.57805,1.17164,0.74349,0.96837,0.000263978,0.000263978,0.000263978
71,2557.76,1.16306,0.83774,0.96649,0.89441,0.85191,0.90257,0.58022,1.15739,0.74068,0.96526,0.000255731,0.000255731,0.000255731
72,2590.52,1.17154,0.84345,0.96318,0.89375,0.83957,0.89142,0.57375,1.17794,0.74178,0.95373,0.000247484,0.000247484,0.000247484
73,2623.4,1.1719,0.84883,0.96194,0.90289,0.82587,0.88937,0.5827,1.13549,0.73934,0.95787,0.000239238,0.000239238,0.000239238
74,2656.06,1.15522,0.83362,0.95872,0.89309,0.85238,0.89409,0.58951,1.14956,0.72638,0.95086,0.000230991,0.000230991,0.000230991
75,2688.94,1.14612,0.82516,0.95251,0.90479,0.8472,0.89867,0.58741,1.15207,0.72062,0.95867,0.000222744,0.000222744,0.000222744
76,2721.44,1.15719,0.82339,0.96197,0.93065,0.82198,0.89781,0.58665,1.13539,0.73147,0.95311,0.000214497,0.000214497,0.000214497
77,2754.05,1.15323,0.82368,0.95771,0.85536,0.87897,0.89359,0.58359,1.13488,0.72182,0.94712,0.000206251,0.000206251,0.000206251
78,2787.03,1.13541,0.8157,0.95241,0.90477,0.86057,0.89745,0.59204,1.11579,0.71162,0.94172,0.000198004,0.000198004,0.000198004
79,2820.2,1.14305,0.81288,0.95568,0.92687,0.84121,0.89949,0.59725,1.11567,0.7068,0.93991,0.000189757,0.000189757,0.000189757
80,2854.15,1.13588,0.81033,0.95048,0.93365,0.80386,0.88844,0.58267,1.14483,0.73252,0.9473,0.000181511,0.000181511,0.000181511
81,2888.59,1.13593,0.81191,0.95096,0.91041,0.84854,0.89566,0.59364,1.12192,0.71077,0.94811,0.000173264,0.000173264,0.000173264
82,2923.33,1.12698,0.81085,0.94916,0.88158,0.8623,0.90072,0.59815,1.12958,0.70061,0.94438,0.000165017,0.000165017,0.000165017
83,2956.49,1.1302,0.80623,0.95023,0.89453,0.84811,0.89618,0.59272,1.10844,0.71411,0.94357,0.000156771,0.000156771,0.000156771
84,2989.73,1.12688,0.80773,0.95226,0.8982,0.84878,0.89712,0.59026,1.14118,0.70734,0.94566,0.000148524,0.000148524,0.000148524
85,3023.82,1.12795,0.80513,0.95556,0.87238,0.8506,0.89569,0.59338,1.12149,0.70124,0.94727,0.000140277,0.000140277,0.000140277
86,3061.22,1.11899,0.7909,0.95909,0.89096,0.86139,0.90145,0.59605,1.10499,0.69389,0.93967,0.000132031,0.000132031,0.000132031
87,3109.19,1.12366,0.79116,0.94764,0.88808,0.86191,0.90165,0.5936,1.11234,0.697,0.94059,0.000123784,0.000123784,0.000123784
88,3152.61,1.12712,0.80273,0.94529,0.91082,0.85578,0.90866,0.59548,1.12448,0.6802,0.93785,0.000115537,0.000115537,0.000115537
89,3195.99,1.09473,0.77581,0.93958,0.8802,0.88702,0.90502,0.59836,1.12251,0.68517,0.93874,0.00010729,0.00010729,0.00010729
90,3233.26,1.10729,0.79032,0.94863,0.87135,0.89397,0.90536,0.59387,1.13329,0.69748,0.94297,9.90437e-05,9.90437e-05,9.90437e-05
91,3265.6,1.09278,0.7555,0.94016,0.88523,0.86842,0.89815,0.60113,1.11285,0.71273,0.94204,9.0797e-05,9.0797e-05,9.0797e-05
92,3296.78,1.08135,0.74935,0.93577,0.91009,0.8535,0.90391,0.59922,1.11242,0.70027,0.94108,8.25503e-05,8.25503e-05,8.25503e-05
93,3328.09,1.05623,0.73212,0.93202,0.88899,0.88539,0.90712,0.60364,1.09752,0.69207,0.93602,7.43036e-05,7.43036e-05,7.43036e-05
94,3361.44,1.05511,0.72605,0.9284,0.88527,0.86498,0.90586,0.59886,1.09688,0.68629,0.93489,6.60569e-05,6.60569e-05,6.60569e-05
95,3392.56,1.04312,0.71959,0.92934,0.88498,0.88029,0.90699,0.60282,1.1023,0.68495,0.93719,5.78102e-05,5.78102e-05,5.78102e-05
96,3423.77,1.04762,0.72022,0.92554,0.89073,0.87563,0.90597,0.60194,1.11029,0.68542,0.93762,4.95635e-05,4.95635e-05,4.95635e-05
97,3454.84,1.04339,0.71471,0.92085,0.89071,0.86973,0.90604,0.60423,1.09469,0.67732,0.93675,4.13168e-05,4.13168e-05,4.13168e-05
98,3485.93,1.03976,0.71424,0.92693,0.9106,0.86152,0.90776,0.60548,1.09296,0.68262,0.93705,3.30701e-05,3.30701e-05,3.30701e-05
99,3516.93,1.03206,0.71065,0.92614,0.90746,0.86861,0.90611,0.60283,1.09406,0.67617,0.93469,2.48234e-05,2.48234e-05,2.48234e-05
100,3548.37,1.02842,0.70291,0.92359,0.88758,0.87925,0.90733,0.60695,1.09236,0.67397,0.93304,1.65767e-05,1.65767e-05,1.65767e-05
